發票年月,縣市代碼,縣市名稱,行業名稱,平均開立張數,平均開立金額,平均客單價
2013/4/1,D,臺南市,超級市場,589729,49402397,84
2013/4/1,D,臺南市,零售式量販店,21296,10777219,506
2013/4/1,D,臺南市,食品、飲料及菸草製品零售業,16557,3861884,233
2013/4/1,D,臺南市,餐飲業,11325,1619731,143
2013/4/1,E,高雄市,便利商店,19267,1969018,102
2013/4/1,E,高雄市,百貨公司,54384,62409664,1148
2013/4/1,E,高雄市,綜合商品零售業,19570,3800537,194
2013/4/1,E,高雄市,超級市場,17356,3914546,226
2013/4/1,E,高雄市,零售式量販店,11584,8299458,716
2013/4/1,E,高雄市,食品、飲料及菸草製品零售業,734867,59916791,82
2013/4/1,E,高雄市,餐飲業,9958,1399453,141
2013/4/1,F,新北市,便利商店,35361,3056293,86
2013/4/1,F,新北市,百貨公司,18188,3926920,216
2013/4/1,F,新北市,綜合商品零售業,31810,3317225,104
2013/4/1,F,新北市,超級市場,15575,3912026,251
2013/4/1,F,新北市,零售式量販店,19096,8253037,432
2013/4/1,F,新北市,食品、飲料及菸草製品零售業,14858,2408805,162
2013/4/1,F,新北市,餐飲業,11104,1602179,144
2013/4/1,G,宜蘭縣,便利商店,40009,3761015,94
2013/4/1,G,宜蘭縣,綜合商品零售業,36491,4071917,112
2013/4/1,G,宜蘭縣,超級市場,19815,6127650,309
2013/4/1,G,宜蘭縣,食品、飲料及菸草製品零售業,16400,3992704,243
2013/4/1,H,桃園市,便利商店,38716,3418881,88
2013/4/1,H,桃園市,百貨公司,25708,31487252,1225
2013/4/1,H,桃園市,綜合商品零售業,35624,4670840,131
2013/4/1,H,桃園市,超級市場,18482,6359522,344
2013/4/1,H,桃園市,零售式量販店,28673,15380589,536
2013/4/1,H,桃園市,食品、飲料及菸草製品零售業,14917,2710021,182
2013/4/1,H,桃園市,餐飲業,29393,21809936,742
2013/4/1,I,嘉義市,便利商店,18404,1908597,104
2013/4/1,I,嘉義市,綜合商品零售業,41011,6987789,170
2013/4/1,I,嘉義市,超級市場,167540,15766974,94
2013/4/1,J,新竹縣,便利商店,14359,1350229,94
2013/4/1,J,新竹縣,綜合商品零售業,13725,1502008,109
2013/4/1,J,新竹縣,超級市場,5454,1207887,221
2013/4/1,J,新竹縣,食品、飲料及菸草製品零售業,9123,3511703,385
2013/4/1,K,苗栗縣,便利商店,15672,1570543,100
2013/4/1,K,苗栗縣,綜合商品零售業,16284,2493867,153
2013/4/1,K,苗栗縣,超級市場,14285,3988998,279
2013/4/1,K,苗栗縣,食品、飲料及菸草製品零售業,20482,4095379,200
