發票年,發票月,縣市代碼,縣市名稱,行業名稱,平均開立張數,平均開立金額,平均客單價
2013,12,X,澎湖縣,便利商店,18632,2776141,149
2013,12,Z,連江縣,便利商店,24200,3394922,140
2014,1,A,臺北市,便利商店,25769,2241784,87
2014,1,B,臺中市,便利商店,22046,2299105,104
2014,1,C,基隆市,便利商店,20068,1819787,91
2014,1,D,臺南市,便利商店,22814,2322008,102
2014,1,E,高雄市,便利商店,23124,2309952,100
2014,1,F,新北市,便利商店,21135,1999263,95
2014,1,G,宜蘭縣,便利商店,20616,2136825,104
2014,1,H,桃園市,便利商店,20593,2013474,98
2014,1,I,嘉義市,便利商店,21929,2191123,100
2014,1,J,新竹縣,便利商店,19388,1912927,99
2014,1,K,苗栗縣,便利商店,19050,1995725,105
2014,1,M,南投縣,便利商店,19378,2247352,116
2014,1,N,彰化縣,便利商店,20829,2446983,117
2014,1,O,新竹市,便利商店,20233,1762796,87
2014,1,P,雲林縣,便利商店,19429,2203183,113
2014,1,Q,嘉義縣,便利商店,19144,2010062,105
2014,1,T,屏東縣,便利商店,21818,2467308,113
2014,1,U,花蓮縣,便利商店,20594,2235688,109
2014,1,V,臺東縣,便利商店,21368,2363432,111
2014,1,W,金門縣,便利商店,25257,3034729,120
2014,1,X,澎湖縣,便利商店,19601,3259213,166
2014,1,Z,連江縣,便利商店,19650,2897696,147
2014,2,A,臺北市,便利商店,22580,1926906,85
2014,2,B,臺中市,便利商店,20198,2069373,102
2014,2,C,基隆市,便利商店,17212,1605217,93
2014,2,D,臺南市,便利商店,20991,2053072,98
2014,2,E,高雄市,便利商店,21129,2016043,95
2014,2,F,新北市,便利商店,18410,1753217,95
2014,2,G,宜蘭縣,便利商店,19206,2017179,105
2014,2,H,桃園市,便利商店,17939,1767297,99
2014,2,I,嘉義市,便利商店,20049,1946884,97
2014,2,J,新竹縣,便利商店,17203,1704634,99
2014,2,K,苗栗縣,便利商店,17435,1823349,105
2014,2,M,南投縣,便利商店,19216,2179441,113
2014,2,N,彰化縣,便利商店,19154,2179581,114
2014,2,O,新竹市,便利商店,17732,1555138,88
2014,2,P,雲林縣,便利商店,18131,1990364,110
2014,2,Q,嘉義縣,便利商店,18557,1932271,104
2014,2,T,屏東縣,便利商店,21306,2291526,108
2014,2,U,花蓮縣,便利商店,19783,2136098,108
2014,2,V,臺東縣,便利商店,21833,2429223,111
2014,2,W,金門縣,便利商店,21598,2617913,121
2014,2,X,澎湖縣,便利商店,17346,2608038,150
2014,2,Z,連江縣,便利商店,19286,2648291,137
2014,3,A,臺北市,便利商店,27358,2208837,81
2014,3,B,臺中市,便利商店,23432,2245613,96
2014,3,C,基隆市,便利商店,19286,1663592,86
2014,3,D,臺南市,便利商店,24163,2226890,92
2014,3,E,高雄市,便利商店,23987,2187063,91
2014,3,F,新北市,便利商店,21551,1917467,89
2014,3,G,宜蘭縣,便利商店,20185,1972585,98
2014,3,H,桃園市,便利商店,21011,1924828,92
2014,3,I,嘉義市,便利商店,22104,2040396,92
2014,3,J,新竹縣,便利商店,19950,1839581,92
2014,3,K,苗栗縣,便利商店,19455,1870703,96
2014,3,M,南投縣,便利商店,19165,2056436,107
2014,3,N,彰化縣,便利商店,21152,2265011,107
2014,3,O,新竹市,便利商店,21535,1759220,82
2014,3,P,雲林縣,便利商店,19678,2014638,102
2014,3,Q,嘉義縣,便利商店,20419,1947218,95
2014,3,T,屏東縣,便利商店,22692,2330764,103
2014,3,U,花蓮縣,便利商店,21031,2087301,99
2014,3,V,臺東縣,便利商店,21374,2208374,103
2014,3,W,金門縣,便利商店,26323,2927251,111
2014,3,X,澎湖縣,便利商店,19139,2760017,144
2014,3,Z,連江縣,便利商店,23418,3020719,129
2014,4,A,臺北市,便利商店,27497,2155723,78
2014,4,B,臺中市,便利商店,23639,2187587,93
2014,4,C,基隆市,便利商店,19662,1664981,85
2014,4,D,臺南市,便利商店,24173,2192423,91
2014,4,E,高雄市,便利商店,24037,2160893,90
2014,4,F,新北市,便利商店,21820,1888933,87
2014,4,G,宜蘭縣,便利商店,20879,1975850,95
2014,4,H,桃園市,便利商店,21634,1920051,89
2014,4,I,嘉義市,便利商店,21972,1996790,91
2014,4,J,新竹縣,便利商店,20393,1826198,90
2014,4,K,苗栗縣,便利商店,20031,1863260,93
2014,4,M,南投縣,便利商店,19603,2055792,105
2014,4,N,彰化縣,便利商店,21770,2286863,105
2014,4,O,新竹市,便利商店,21844,1735707,79
2014,4,P,雲林縣,便利商店,20167,2016662,100
2014,4,Q,嘉義縣,便利商店,20725,1946568,94
2014,4,T,屏東縣,便利商店,23147,2370367,102
2014,4,U,花蓮縣,便利商店,21504,2138044,99
2014,4,V,臺東縣,便利商店,22193,2284184,103
2014,4,W,金門縣,便利商店,27790,3015579,109
2014,4,X,澎湖縣,便利商店,22394,3044364,136
2014,4,Z,連江縣,便利商店,24583,3078796,125
2014,5,A,臺北市,便利商店,29342,2299928,78
2014,5,B,臺中市,便利商店,25135,2323591,92
2014,5,C,基隆市,便利商店,21083,1767349,84
2014,5,D,臺南市,便利商店,25995,2328364,90
2014,5,E,高雄市,便利商店,25740,2278053,89
2014,5,F,新北市,便利商店,23390,2012988,86
2014,5,G,宜蘭縣,便利商店,21567,2044713,95
2014,5,H,桃園市,便利商店,23009,2032770,88
2014,5,I,嘉義市,便利商店,23866,2137400,90
2014,5,J,新竹縣,便利商店,21478,1905100,89
2014,5,K,苗栗縣,便利商店,21229,1957580,92
2014,5,M,南投縣,便利商店,20068,2120651,106
2014,5,N,彰化縣,便利商店,22617,2354715,104
2014,5,O,新竹市,便利商店,23176,1832714,79
2014,5,P,雲林縣,便利商店,21126,2119735,100
2014,5,Q,嘉義縣,便利商店,21548,2011741,93
2014,5,T,屏東縣,便利商店,24857,2487406,100
2014,5,U,花蓮縣,便利商店,22770,2198913,97
2014,5,V,臺東縣,便利商店,23976,2370825,99
2014,5,W,金門縣,便利商店,28382,3108776,110
2014,5,X,澎湖縣,便利商店,26466,3479327,131
2014,5,Z,連江縣,便利商店,25947,3236197,125
2014,6,A,臺北市,便利商店,28740,2252382,78
2014,6,B,臺中市,便利商店,25298,2307754,91
2014,6,C,基隆市,便利商店,21208,1763919,83
2014,6,D,臺南市,便利商店,25493,2282117,90
2014,6,E,高雄市,便利商店,25160,2227075,89
2014,6,F,新北市,便利商店,23563,2013584,85
2014,6,G,宜蘭縣,便利商店,22515,2088116,93
2014,6,H,桃園市,便利商店,23341,2038554,87
2014,6,I,嘉義市,便利商店,23651,2103703,89
2014,6,J,新竹縣,便利商店,21650,1909777,88
2014,6,K,苗栗縣,便利商店,21540,1966687,91
2014,6,M,南投縣,便利商店,20999,2172752,103
2014,6,N,彰化縣,便利商店,23041,2339200,102
2014,6,O,新竹市,便利商店,23100,1822984,79
2014,6,P,雲林縣,便利商店,21287,2070748,97
2014,6,Q,嘉義縣,便利商店,21772,2020810,93
2014,6,T,屏東縣,便利商店,25068,2514326,100
2014,6,U,花蓮縣,便利商店,23162,2206856,95
2014,6,V,臺東縣,便利商店,24938,2427192,97
2014,6,W,金門縣,便利商店,29587,3231871,109
2014,6,X,澎湖縣,便利商店,28023,3599844,128
2014,6,Z,連江縣,便利商店,27407,3413633,125
2014,7,A,臺北市,便利商店,31294,2444669,78
2014,7,B,臺中市,便利商店,26627,2477630,93
2014,7,C,基隆市,便利商店,23362,1938215,83
2014,7,D,臺南市,便利商店,26965,2496113,93
2014,7,E,高雄市,便利商店,26618,2407259,90
2014,7,F,新北市,便利商店,25506,2182393,86
2014,7,G,宜蘭縣,便利商店,25571,2385951,93
2014,7,H,桃園市,便利商店,24848,2172101,87
2014,7,I,嘉義市,便利商店,25277,2222072,88
2014,7,J,新竹縣,便利商店,23589,2093924,89
2014,7,K,苗栗縣,便利商店,22795,2108528,93
2014,7,M,南投縣,便利商店,22938,2442244,106
2014,7,N,彰化縣,便利商店,24884,2561951,103
2014,7,O,新竹市,便利商店,24171,1926186,80
2014,7,P,雲林縣,便利商店,22503,2263997,101
2014,7,Q,嘉義縣,便利商店,23159,2176531,94
2014,7,T,屏東縣,便利商店,27028,2755422,102
2014,7,U,花蓮縣,便利商店,26986,2593380,96
2014,7,V,臺東縣,便利商店,28834,2869439,100
2014,7,W,金門縣,便利商店,30673,3437350,112
2014,7,X,澎湖縣,便利商店,29485,3885453,132
2014,7,Z,連江縣,便利商店,28387,3518889,124
2014,8,A,臺北市,便利商店,30046,2389893,80
2014,8,B,臺中市,便利商店,25563,2489813,97
2014,8,C,基隆市,便利商店,23055,1925999,84
2014,8,D,臺南市,便利商店,25292,2509281,99
2014,8,E,高雄市,便利商店,24707,2375933,96
2014,8,F,新北市,便利商店,24473,2128440,87
2014,8,G,宜蘭縣,便利商店,24772,2359578,95
2014,8,H,桃園市,便利商店,24303,2140430,88
2014,8,I,嘉義市,便利商店,23785,2214293,93
2014,8,J,新竹縣,便利商店,22595,2041172,90
2014,8,K,苗栗縣,便利商店,22031,2105920,96
2014,8,M,南投縣,便利商店,22098,2505841,113
2014,8,N,彰化縣,便利商店,23253,2624348,113
2014,8,O,新竹市,便利商店,23068,1862066,81
2014,8,P,雲林縣,便利商店,21431,2255284,105
2014,8,Q,嘉義縣,便利商店,21387,2122151,99
2014,8,T,屏東縣,便利商店,25200,2773841,110
